Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
G,486,Gollini,4.2,4.2,Spurs,1,0.04
M,487,Bryan,5.7,5.7,Spurs,0,0.00
D,488,Andersen,4.7,4.7,Crystal Palace,83,2.38
G,489,Areola,4.7,4.7,West Ham,3,0.13
G,490,Klaesson,4.3,4.3,Leeds,0,0.02
D,491,Livramento,4.2,4.2,Southampton,0,0.00
M,492,Bailey,6.3,6.3,Aston Villa,3,0.16
D,493,Clyne,4.3,4.3,Crystal Palace,77,2.20
D,494,Romero,4.8,4.8,Spurs,0,0.00
M,495,Kucka,5.5,5.5,Watford,36,1.05
M,496,Ramsey,4.4,4.4,Aston Villa,0,0.00
M,497,Philogene-Bidace,5.0,5.0,Aston Villa,0,0.00
D,498,Thompson,4.4,4.4,Brentford,0,0.00
M,499,Baptiste,4.9,4.9,Brentford,4,0.28
F,500,Andone,5.0,5.0,Brighton,0,0.00
D,501,Sarr,4.9,4.9,Chelsea,13,0.59
D,502,Kenny,4.3,4.3,Everton,14,0.35
M,503,Gordon,4.7,4.6,Everton,72,2.72
M,504,Gbamin,4.4,4.4,Everton,0,0.00
M,505,Dewsbury-Hall,4.4,4.4,Leicester,72,2.73
M,506,Elliott,5.3,5.3,Liverpool,8,0.56
M,507,Palmer,4.5,4.5,Man City,1,0.07
M,508,Edozie,4.7,4.7,Man City,0,0.01
G,509,Heaton,3.9,3.9,Man Utd,0,0.00
D,510,Dalot,4.2,4.2,Man Utd,65,2.23
M,511,Pereira,5.0,5.0,Man Utd,0,0.00
M,512,Elanga,4.8,4.8,Man Utd,74,3.31
G,513,Woodman,4.3,4.3,Newcastle,0,0.00
G,514,Gillespie,3.9,3.9,Newcastle,0,0.00
D,515,Mumba,3.9,3.9,Norwich,0,0.00
F,516,Sargent,5.4,5.4,Norwich,0,0.00
M,517,Elyounoussi,5.4,5.4,Southampton,23,1.16
F,518,Broja,5.3,5.3,Southampton,58,2.82
F,519,Long,5.4,5.4,Southampton,14,0.84
F,520,Scarlett,4.5,4.5,Spurs,1,0.05
D,521,Alves,4.0,4.0,West Ham,0,0.00
M,522,Coventry,4.5,4.5,West Ham,0,0.00
F,523,Cutrone,5.0,5.0,Wolves,0,0.00
M,524,Wissa,5.7,5.7,Brentford,61,3.47
F,525,A.Armstrong,5.7,5.7,Southampton,38,2.08
M,526,Chukwuemeka,4.5,4.5,Aston Villa,3,0.15
D,527,Chalobah,4.7,4.7,Chelsea,26,1.55
M,528,Tzolis,4.8,4.8,Norwich,15,0.71
F,529,Lukaku,11.4,11.4,Chelsea,78,6.47
F,530,Balogun,4.7,4.7,Arsenal,0,0.00
M,531,Nelson,5.0,5.0,Arsenal,0,0.00
G,532,Hein,4.0,4.0,Arsenal,0,0.00
F,533,Richardson,4.4,4.4,Burnley,0,0.00
D,534,Thomas,3.9,3.9,Burnley,0,0.00
F,535,Zeqiri,4.5,4.5,Brighton,0,0.00
D,536,Karbownik,4.0,4.0,Brighton,0,0.00
M,537,Richards,4.5,4.5,Brighton,0,0.00
M,538,Caicedo,4.5,4.5,Brighton,78,2.61
D,539,Emerson,4.5,4.5,Chelsea,0,0.00
D,540,Hannam,3.9,3.9,Crystal Palace,0,0.00
M,541,Rak-Sakyi,4.4,4.4,Crystal Palace,2,0.09
F,542,Street,4.5,4.5,Crystal Palace,0,0.00
M,543,Banks,4.5,4.5,Crystal Palace,2,0.09
D,544,Branthwaite,4.0,4.0,Everton,7,0.19
F,545,Broadhead,4.5,4.5,Everton,0,0.00
D,546,Valery,3.9,3.9,Southampton,71,1.73
M,547,Cundle,4.4,4.4,Wolves,10,0.39
M,548,Campbell,4.4,4.4,Wolves,2,0.06
D,549,Marques,4.0,4.0,Wolves,0,0.00
F,550,Greenwood,4.6,4.6,Leeds,15,0.77
M,551,Summerville,4.5,4.5,Leeds,0,0.00
M,552,Forshaw,4.5,4.5,Leeds,0,0.00
M,553,Woodburn,4.5,4.5,Liverpool,0,0.00
D,554,Baptiste,3.9,3.9,West Ham,0,0.00
D,555,Varane,5.5,5.5,Man Utd,85,2.86
G,556,Fernández,4.5,4.5,Brentford,0,0.01
M,557,Tufan,5.0,5.0,Watford,0,0.00
M,558,Ødegaard,5.6,5.6,Arsenal,81,4.65
G,559,Ramsdale,5.1,5.1,Arsenal,87,3.89
D,560,Roberts,3.9,3.9,Brighton,0,0.01
G,561,Matthews,3.9,3.9,Crystal Palace,0,0.00
D,562,Drameh,3.9,3.9,Leeds,0,0.00
D,563,Cresswell,4.0,4.0,Leeds,3,0.08
F,564,Kean,6.0,6.0,Everton,0,0.00
D,565,Dodgson,3.9,3.9,Burnley,0,0.00
M,566,Doyle,4.5,4.5,Man City,0,0.00
D,567,Lyanco,4.4,4.4,Southampton,35,0.87
F,568,Archer,4.5,4.5,Aston Villa,0,0.00
D,569,Stevens,3.9,3.9,Brentford,0,0.01
D,570,Nkounkou,4.0,4.0,Everton,0,0.00
G,571,Lonergan,3.9,3.9,Everton,0,0.00
G,572,Okonkwo,3.9,3.9,Arsenal,0,0.00
G,573,Jakupovic,3.9,3.9,Leicester,0,0.00
G,574,Elliot,4.0,4.0,Watford,0,0.00
M,575,Lennon,4.6,4.6,Burnley,40,1.67
M,576,McCarron,4.4,4.4,Leeds,5,0.15
F,577,Gelhardt,4.7,4.7,Leeds,41,2.02
M,578,Cornet,5.8,5.8,Burnley,76,3.56
F,579,Ronaldo,12.2,12.2,Man Utd,80,5.16
D,580,Kabak,4.3,4.3,Norwich,0,0.00
M,581,Normann,4.5,4.5,Norwich,59,1.63
M,582,Vlasic,5.6,5.6,West Ham,23,1.30
F,583,Hwang,5.4,5.4,Wolves,33,1.28
D,584,Cucurella,4.9,4.9,Brighton,87,2.98
D,585,Roberts,4.4,4.4,Burnley,79,3.20
F,586,Edouard,6.0,6.0,Crystal Palace,48,2.66
M,587,Lookman,5.9,5.9,Leicester,36,2.14
D,588,Emerson Royal,4.6,4.6,Spurs,81,4.93
M,589,Kral,4.4,4.4,West Ham,2,0.08
D,590,Tomiyasu,4.5,4.5,Arsenal,64,2.95
F,591,Rondón,6.0,6.0,Everton,0,0.00
M,592,Saúl,4.9,4.9,Chelsea,12,0.64
G,593,Carson,3.9,3.9,Man City,0,0.00
D,594,Zanka,4.5,4.5,Brentford,0,0.00
F,595,Locadia,4.4,4.4,Brighton,0,0.00
G,596,Sinisalo,4.0,4.0,Aston Villa,0,0.00
M,597,Markanday,4.5,4.5,Spurs,0,0.00
D,598,Omole,3.9,3.9,Spurs,0,0.01
M,599,White,4.4,4.4,Newcastle,0,0.00
M,600,Kenneh,4.4,4.4,Leeds,1,0.02
M,601,McKinstry,4.3,4.3,Leeds,0,0.02
F,602,Simms,4.5,4.5,Everton,0,0.00
D,603,Mbete,3.9,3.9,Man City,3,0.19
D,604,Wilson-Esbrand,3.9,3.9,Man City,1,0.08
M,605,Lavia,4.4,4.4,Man City,0,0.01
G,606,Bettinelli,4.0,4.0,Chelsea,0,0.00
F,607,Dobbin,4.5,4.5,Everton,0,0.00
D,608,Hjelde,4.0,4.0,Leeds,0,0.01
M,609,Anderson,4.5,4.5,Newcastle,0,0.00
D,610,Bogarde,4.0,4.0,Aston Villa,2,0.07
G,611,Moulden,4.0,4.0,Wolves,0,0.00
M,612,Sarmiento,4.5,4.5,Brighton,0,0.00
M,613,Whitaker,4.5,4.5,Everton,0,0.00
M,614,Maghoma,4.5,4.5,Brentford,0,0.01
G,615,Slicker,4.0,4.0,Man City,0,0.00
G,616,Tyrer,4.0,4.0,Everton,0,0.00
D,617,Ashby,4.0,4.0,West Ham,0,0.00
D,618,Nkoulou,4.4,4.4,Watford,0,0.00
G,619,Cox,4.0,4.0,Brentford,0,0.00
M,620,Morton,4.5,4.5,Liverpool,0,0.00
G,621,Storer,4.0,4.0,Wolves,0,0.00
F,622,Tosun,5.0,5.0,Everton,9,0.38
D,623,Welch,4.0,4.0,Everton,0,0.01
M,624,Bate,4.5,4.5,Leeds,18,0.70
M,625,Gordon,4.5,4.5,Liverpool,0,0.00
D,626,Bradley,4.0,4.0,Liverpool,0,0.02
D,627,Beck,4.0,4.0,Liverpool,1,0.07
M,628,Haygarth,4.5,4.5,Brentford,1,0.04
M,629,McAtee,4.4,4.4,Man City,0,0.00
M,630,Onyango,4.5,4.5,Everton,0,0.00
M,631,Jenkins,4.5,4.5,Leeds,1,0.04
D,632,Jones,4.5,4.5,Man Utd,3,0.12
D,633,Morris,4.0,4.0,Watford,0,0.01
M,634,Perkins,4.5,4.5,West Ham,0,0.02
D,635,Bueno,4.0,4.0,Wolves,2,0.05
M,636,Diallo,5.0,5.0,Man Utd,0,0.00
G,637,Lewis,3.9,3.9,Southampton,0,0.00
M,638,Iroegbunam,4.5,4.5,Aston Villa,1,0.05
D,639,Daley-Campbell,4.0,4.0,Leicester,0,0.00
F,640,Young-Coombes,4.5,4.5,Brentford,1,0.07
G,641,Caballero,4.2,4.2,Southampton,1,0.05
G,642,Angelini,4.0,4.0,Watford,0,0.00
D,643,Tomkinson,4.0,4.0,Norwich,1,0.02
D,644,Alese,4.0,4.0,West Ham,0,0.01
D,645,Nelson,4.0,4.0,Leicester,1,0.02
M,646,Brunt,4.5,4.5,Leicester,1,0.04
M,647,McAteer,4.5,4.5,Leicester,0,0.00
M,648,Rowe,4.4,4.4,Norwich,0,0.01
F,649,Dickson-Peters,4.5,4.5,Norwich,0,0.00
G,650,Marschall,4.0,4.0,Aston Villa,0,0.00
D,651,Egan-Riley,4.0,4.0,Man City,2,0.11
M,652,Oko-Flex,4.4,4.4,West Ham,0,0.02
D,653,Turns,4.0,4.0,Brighton,2,0.08
M,654,Leonard,4.5,4.5,Brighton,0,0.00
F,655,Ferguson,4.5,4.5,Brighton,0,0.00
G,656,Pitaluga,4.0,4.0,Liverpool,0,0.00
D,657,Moore,4.0,4.0,Leeds,1,0.04
M,658,Gray,4.5,4.5,Leeds,1,0.04
G,659,Austin,4.0,4.0,Spurs,0,0.00
D,660,Quansah,4.0,4.0,Liverpool,1,0.05
M,661,Jordão,4.5,4.5,Wolves,0,0.00
M,662,Peart-Harris,4.5,4.5,Brentford,1,0.03
F,663,Kayky,5.0,5.0,Man City,0,0.00
M,664,Patino,4.5,4.5,Arsenal,0,0.01
D,665,Simeu,4.0,4.0,Southampton,0,0.00
G,666,McCracken,4.0,4.0,Norwich,0,0.00
D,667,Small,4.0,4.0,Southampton,5,0.18
M,668,White,4.4,4.4,Spurs,0,0.00
M,669,Conteh,4.5,4.5,Watford,0,0.00
D,670,Feeney,4.0,4.0,Aston Villa,3,0.08
M,671,Hall,4.5,4.5,Chelsea,0,0.00
M,672,Vale,4.5,4.5,Chelsea,0,0.00
G,673,Lössl,4.5,4.5,Brentford,0,0.02
D,674,Patterson,4.1,4.1,Everton,0,0.00
D,675,Mykolenko,4.9,4.9,Everton,84,1.98
D,676,Kamara,4.5,4.5,Watford,81,1.34
D,677,Samir,4.5,4.5,Watford,66,1.08
D,678,Trippier,4.9,4.9,Newcastle,80,3.10
M,679,Kayembe,4.5,4.5,Watford,69,1.83
M,680,Chauke,4.5,4.5,Southampton,0,0.00
M,681,Coutinho,7.1,7.1,Aston Villa,77,2.54
D,682,Ekwah,4.0,4.0,West Ham,0,0.00
M,683,Gibbs,4.5,4.5,Norwich,2,0.07
D,684,Hayden,4.0,4.0,Aston Villa,2,0.06
D,685,Toti,4.4,4.4,Wolves,6,0.14
D,686,Sanderson,4.0,4.0,Wolves,0,0.00
M,687,Giles,4.5,4.5,Wolves,0,0.00
G,688,McGill,4.0,4.0,Brighton,0,0.00
M,689,Chiquinho,5.5,5.5,Wolves,26,0.96
D,690,Kenedy,4.5,4.5,Chelsea,6,0.57
G,691,Olsen,4.0,4.0,Aston Villa,1,0.03
M,692,Hutchinson,4.5,4.5,Arsenal,0,0.01
M,693,Oulad M'hand,4.5,4.5,Arsenal,0,0.00
F,694,Biereth,4.5,4.5,Arsenal,0,0.00
D,695,Alebiosu,4.0,4.0,Arsenal,0,0.00
M,696,Luis Díaz,8.1,8.1,Liverpool,79,5.23
M,697,Bruno Guimarães,5.0,5.0,Newcastle,82,2.81
M,698,Kalu,4.9,4.9,Watford,59,2.05
M,699,Eriksen,5.6,5.6,Brentford,81,3.95
F,700,Weghorst,6.3,6.3,Burnley,70,3.70
M,701,Kulusevski,6.3,6.3,Spurs,74,4.67
M,702,Bentancur,4.9,4.9,Spurs,77,3.03
M,703,Chrisene,4.5,4.5,Aston Villa,0,0.00
F,704,Delap,4.5,4.5,Man City,0,0.02
D,705,Awe,4.0,4.0,Arsenal,0,0.02
M,706,Mejbri,4.5,4.5,Man Utd,0,0.01
M,707,De Bolle,4.4,4.4,Newcastle,0,0.00
G,708,Waller,4.0,4.0,Burnley,0,0.00
D,709,Adaramola,4.0,4.0,Crystal Palace,0,0.00
M,710,Chesters,4.5,4.5,West Ham,0,0.01
D,711,Swanson,4.0,4.0,Arsenal,0,0.00
D,712,Offiah,4.0,4.0,Brighton,1,0.04
M,713,O'Reilly,4.5,4.5,Aston Villa,0,0.01
M,714,Devine,4.5,4.5,Spurs,2,0.12
F,715,Kamara,4.5,4.5,Norwich,0,0.01
M,716,Springett,4.5,4.5,Norwich,40,1.40
M,717,Bowden,4.5,4.5,Spurs,0,0.01
M,718,Price,4.5,4.5,Everton,0,0.00
D,719,Ogungbo,4.0,4.0,Arsenal,0,0.00
M,720,Flores,4.5,4.5,Arsenal,0,0.00
M,721,Azeez,4.5,4.5,Arsenal,0,0.01
D,722,Jeanvier,4.0,4.0,Brentford,5,0.17
M,723,Garnacho,4.5,4.5,Man Utd,2,0.09
D,724,Lavinier,4.0,4.0,Spurs,1,0.05
F,725,Forde,4.5,4.5,Watford,0,0.00
M,726,Costelloe,4.5,4.5,Burnley,0,0.00
M,727,Shoretire,4.5,4.5,Man Utd,0,0.02
D,728,Álvaro Fernández,4.0,4.0,Man Utd,2,0.08
M,729,Craig,4.5,4.5,Spurs,0,0.01
D,730,Kirk,4.0,4.0,Arsenal,0,0.00
M,731,Dibling,4.5,4.5,Southampton,1,0.04
F,732,Çukur,4.5,4.5,Watford,10,0.44
M,733,Blake,4.5,4.5,Watford,4,0.17
F,734,Grieves,4.5,4.5,Watford,0,0.02
F,735,McGlynn,4.5,4.5,Burnley,7,0.40
M,736,Mancini,4.5,4.5,Burnley,4,0.16
M,10017,Charly Musonda Jr.,99.9,99.9,Chelsea,0,0.01
M,10037,Tudor Baluta,99.9,99.9,Brighton,0,0.01
G,10061,Loris Karius,99.9,99.9,Liverpool,0,0.00
G,10072,Lee Grant,99.9,99.9,Man Utd,0,0.00
G,10091,Matija Sarkic,99.9,99.9,Wolves,0,0.01
G,10096,David Martin,99.9,99.9,West Ham,0,0.00
